id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,cantidad,precio_unitario,monto_descuento,monto_total,categoria_producto,costo_unitario,proveedor,costo_total,margen_bruto
order_0,user_6993,2025-05-22,Argentina,desktop,organic,Jacket-Winter-M,2.0,332.69,0.0,665.38,Moda,189.31,Mcmillan-Rhodes,378.62,286.76
order_1,user_1329,2025-06-15,Mexico,desktop,paid_search,Tablet-Standard-64GB,1.0,176.86,5.0,171.86,Electrónica,25.21,Bowers LLC,25.21,146.65
order_2,user_3194,2025-05-02,Argentina,desktop,social,Blender-XL-Red,2.0,102.99,10.0,195.98,Hogar,176.64,Long-Reid,353.28,-157.29999999999998
order_3,user_4510,2025-06-09,Colombia,mobile,social,Tablet-Standard-64GB,1.0,257.87,15.0,242.87,Electrónica,25.21,Bowers LLC,25.21,217.66
order_4,user_5044,2025-03-30,Argentina,desktop,paid_search,Blender-XL-Red,1.0,336.28,0.0,336.28,Hogar,176.64,Long-Reid,176.64,159.64
order_5,user_2792,2025-04-22,Mexico,desktop,organic,Tablet-Standard-64GB,1.0,179.34,0.0,179.34,Electrónica,25.21,Bowers LLC,25.21,154.13
order_6,user_2802,2025-03-15,Colombia,mobile,organic,Blender-XL-Red,2.0,163.59,0.0,327.18,Hogar,176.64,Long-Reid,353.28,-26.099999999999966
order_7,user_1083,2025-05-01,Mexico,desktop,organic,Tablet-Standard-64GB,2.0,373.68,0.0,747.36,Electrónica,25.21,Bowers LLC,50.42,696.94
order_8,user_2352,2025-03-01,Argentina,desktop,paid_search,Laptop-Gaming-16GB,2.0,477.27,5.0,949.54,Electrónica,280.68,"Fuller, Pena and Myers",561.36,388.17999999999995
order_9,user_7001,2025-05-31,Mexico,mobile,organic,Sneakers-Urban-42,1.0,339.3,5.0,334.3,Moda,17.21,Greene-Smith,17.21,317.09000000000003
order_10,user_3960,2025-03-28,Mexico,mobile,organic,Phone-Pro-128GB,1.0,292.14,0.0,292.14,Electrónica,10.12,King Ltd,10.12,282.02
